block_len,filename,channel,sample_count,eff_digital_min,eff_digital_max,embed_mse,embed_psnr,embed_ber,restore_mse,restore_psnr,restore_ber
3,s01.edf,3,24000,273,408,17.650625,83.86199773096052,0.0025638020833333333,0.0,inf,0.0
3,s01.edf,-1,,,,159.076625,74.31353492910229,0.003940104166666666,0.0,inf,0.0
3,s02.edf,0,24000,446,602,185.50295833333334,73.64609021271549,0.003440104166666667,0.0,inf,0.0
3,s02.edf,1,24000,-815,-677,235.830625,72.60359659280171,0.003463541666666667,0.0,inf,0.0
3,s02.edf,2,24000,325,454,116.818625,75.65447771126183,0.0031380208333333334,0.0,inf,0.0
3,s02.edf,3,24000,79,296,312.898625,71.37556206558298,0.005001302083333333,0.0,inf,0.0
3,s02.edf,-1,,,,312.898625,71.37556206558298,0.005001302083333333,0.0,inf,0.0
3,s03.edf,0,24000,233,462,23.638625,82.59337650132926,0.00261328125,0.0,inf,0.0
3,s03.edf,1,24000,-487,-319,43.838625,79.9110293721902,0.0030390625,0.0,inf,0.0
3,s03.edf,2,24000,247,314,36.903625,80.65890832753034,0.0033294270833333335,0.0,inf,0.0
3,s03.edf,3,24000,58,136,21.302625,83.04526738899136,0.0026432291666666666,0.0,inf,0.0
3,s03.edf,-1,,,,43.838625,79.9110293721902,0.0033294270833333335,0.0,inf,0.0
3,s04.edf,0,24000,97,166,28.019291666666668,81.85502709210789,0.0028346354166666667,0.0,inf,0.0
3,s04.edf,1,24000,43,102,9.566958333333334,86.5218597874948,0.00246484375,0.0,inf,0.0
3,s04.edf,2,24000,336,425,21.713625,82.96227528070423,0.00285546875,0.0,inf,0.0
3,s04.edf,3,24000,-81,-16,15.370291666666667,84.46277752497032,0.003203125,0.0,inf,0.0
3,s04.edf,-1,,,,28.019291666666668,81.85502709210789,0.003203125,0.0,inf,0.0
3,s05.edf,0,24000,-136,-21,57.049625,78.76707067198966,0.004924479166666666,0.0,inf,0.0
3,s05.edf,1,24000,-74,178,53.64395833333333,79.0343904473566,0.0035390625,0.0,inf,0.0
3,s05.edf,2,24000,140,253,37.673291666666664,80.56926293334683,0.0027591145833333335,0.0,inf,0.0
3,s05.edf,3,24000,-20,93,46.22629166666667,79.68070806081013,0.006850260416666667,0.0,inf,0.0
3,s05.edf,-1,,,,57.049625,78.76707067198966,0.006850260416666667,0.0,inf,0.0
3,s06.edf,0,24000,-119,2,210.80629166666668,73.09076292679664,0.007626302083333333,0.0,inf,0.0
3,s06.edf,1,24000,43,236,169.14695833333334,74.04695668706174,0.005016927083333333,0.0,inf,0.0
3,s06.edf,2,24000,40,167,157.15095833333334,74.3664282748394,0.0059921875,0.0,inf,0.0
3,s06.edf,3,24000,14,124,121.39795833333334,75.48748478396325,0.007092447916666667,0.0,inf,0.0
3,s06.edf,-1,,,,210.80629166666668,73.09076292679664,0.007626302083333333,0.0,inf,0.0
3,s07.edf,0,24000,-116,-6,374.401625,70.59622136226733,0.011828125,0.0,inf,0.0
3,s07.edf,1,24000,51,206,416.95095833333335,70.12874884877313,0.009619791666666667,0.0,inf,0.0
3,s07.edf,2,24000,-55,0,52.949625,79.09096972554742,0.01077734375,0.0,inf,0.0
3,s07.edf,3,24000,128,217,383.673625,70.48997915868894,0.0052109375,0.0,inf,0.0
3,s07.edf,-1,,,,416.95095833333335,70.12874884877313,0.011828125,0.0,inf,0.0
3,s08.edf,0,24000,-81,-5,80.83929166666667,77.25337361780254,0.009735677083333333,0.0,inf,0.0
3,s08.edf,1,24000,-7,146,173.496625,73.93668830294182,0.010721354166666667,0.0,inf,0.0
3,s08.edf,2,24000,-18,69,29.186291666666666,81.67780943066951,0.00891015625,0.0,inf,0.0
3,s08.edf,3,24000,123,216,249.80695833333334,72.35355329836658,0.0037708333333333335,0.0,inf,0.0
3,s08.edf,-1,,,,249.80695833333334,72.35355329836658,0.010721354166666667,0.0,inf,0.0
3,s09.edf,0,24000,-184,-99,50.697291666666665,79.27975102025283,0.002979166666666667,0.0,inf,0.0
3,s09.edf,1,24000,-205,-113,22.960958333333334,82.71969850770904,0.0027018229166666666,0.0,inf,0.0
3,s09.edf,2,24000,213,280,34.170625,80.99306938885019,0.0032265625,0.0,inf,0.0
3,s09.edf,3,24000,125,193,51.69795833333333,79.19486469064009,0.0030403645833333333,0.0,inf,0.0
3,s09.edf,-1,,,,51.69795833333333,79.19486469064009,0.0032265625,0.0,inf,0.0
3,s10.edf,0,24000,-180,-62,188.69995833333334,73.57188056978627,0.00476953125,0.0,inf,0.0
3,s10.edf,1,24000,98,215,156.40895833333335,74.38698237566308,0.0033815104166666668,0.0,inf,0.0
3,s10.edf,2,24000,-132,53,173.577625,73.93466119469781,0.010611979166666667,0.0,inf,0.0
3,s10.edf,3,24000,247,360,203.918625,73.23502967174407,0.0037760416666666667,0.0,inf,0.0
3,s10.edf,-1,,,,203.918625,73.23502967174407,0.010611979166666667,0.0,inf,0.0
